,power/energy-cores/,power/energy-pkg/,power/energy-ram/,context-switches,cpu-clock,cpu-migrations,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,usr,sys,idl,wai,read,writ,49,50,51,1m,5m,15m,used,free,cach,recv,send,run,blk,new,read,writ,int,csw
L1-dcache-loads,0.52,0.47,0,0,0.03,0.01,0,0,0.03,0,1,0.01,0.15,0.57,0.03,0,0.01,0.03,0.02,0.01,0.01,0.24,0.43,0,1,0.01,0.57,0.09,0.05,0.01,0,0.01,0.03,0,0.01,0.43,0.24,0.44,0,0.01,0.44,0.81,0.58,0.44,0.11,0.01,0,0.03,0.01,0.01,0.03,0.01,0.01,0.03,0.01,0,0.03,0.43,0.01,0.42,0,0,0,0,0,0.04,0.35,0.19,0.09,0.06,0.07,0.04,0,0,0.42,0,0,0,0,0.06,0
L1-dcache-prefetch-misses,0.04,0.05,0.15,0,0,0,0.02,0.02,0,0.55,0.01,1,0.02,0.09,0.02,0.11,0.18,0.3,0.56,0,0,0,0.17,0.05,0.01,0,0.09,0.01,0,0,0.11,0,0.3,0,0,0.17,0,0.03,0.05,0.15,0.03,0.01,0.09,0.03,0.1,0.19,0.01,0,0.19,0.01,0,0.19,0.01,0,0.19,0.01,0,0.03,0,0.03,0,0,0,0,0,0.01,0.03,0.01,0.01,0.08,0.08,0,0,0,0.03,0,0,0,0,0,0
L1-dcache-store-misses,0.61,0.66,0.43,0,0,0.01,0,0,0,0.15,0.15,0.02,1,0.01,0.02,0.13,0.09,0,0,0.17,0.25,0.57,0.4,0.15,0.15,0.16,0.01,0.02,0,0,0.13,0,0,0.01,0.19,0.39,0.57,0.67,0.32,0.14,0.67,0.26,0.01,0.67,0.61,0.11,0.45,0,0.11,0.45,0,0.12,0.49,0,0.12,0.49,0,0.65,0.03,0.67,0,0,0,0,0,0.01,0.6,0.41,0.24,0.27,0.26,0.01,0,0,0.65,0,0,0,0,0.09,0
L1-dcache-stores,0.1,0.08,0.07,0,0.04,0,0.01,0.01,0.05,0.16,0.57,0.09,0.01,1,0.01,0.05,0.11,0.09,0.13,0,0,0.01,0.08,0.03,0.57,0.01,1,0.03,0.01,0.02,0.05,0.01,0.09,0,0,0.08,0.01,0.07,0.03,0.11,0.07,0.26,1,0.07,0,0.08,0,0.04,0.07,0,0.04,0.08,0,0.04,0.08,0,0.04,0.07,0,0.07,0,0,0,0,0,0.04,0.05,0.02,0.01,0.01,0,0.03,0,0,0.07,0,0,0,0,0.02,0
L1-icache-load-misses,0.05,0.06,0.04,0.01,0,0.02,0.01,0.01,0,0.04,0.03,0.02,0.02,0.01,1,0.06,0.05,0.03,0.01,0,0,0.04,0,0.02,0.03,0,0.01,0.53,0.19,0.01,0.07,0.01,0.03,0,0,0,0.04,0.04,0.07,0.03,0.04,0.01,0.01,0.04,0.04,0.06,0.02,0,0.06,0.03,0,0.07,0.04,0,0.06,0.02,0,0.04,0.01,0.04,0,0,0,0,0,0.02,0.05,0.04,0.01,0.05,0.06,0.03,0,0,0.04,0,0.02,0,0,0,0.01
LLC-load-misses,0.13,0.19,0.63,0,0,0,0,0,0,0.31,0,0.11,0.13,0.05,0.06,1,0.38,0.32,0.05,0,0,0.05,0.03,0.3,0,0.1,0.05,0.04,0.01,0.04,1,0.02,0.32,0,0,0.03,0.05,0.15,0.81,0.32,0.15,0,0.05,0.15,0.37,0.8,0.14,0,0.81,0.16,0,0.8,0.16,0,0.8,0.14,0,0.15,0,0.15,0,0,0,0,0,0,0.14,0.11,0.1,0.05,0.05,0.01,0,0,0.14,0,0,0,0,0.03,0
LLC-loads,0.08,0.11,0.25,0,0.01,0,0,0,0.01,0.78,0.01,0.18,0.09,0.11,0.05,0.38,1,0.1,0.38,0,0,0.03,0.03,0.16,0.01,0.02,0.11,0.02,0,0.02,0.38,0.01,0.1,0,0,0.03,0.03,0.08,0.3,0.97,0.08,0.01,0.1,0.08,0.28,0.3,0.06,0.01,0.29,0.05,0.01,0.28,0.05,0.01,0.3,0.06,0.01,0.08,0,0.08,0,0,0,0,0,0.01,0.07,0.04,0.03,0.05,0.05,0,0,0,0.08,0,0,0,0,0.01,0
LLC-prefetch-misses,0,0,0.22,0,0.01,0,0.02,0.02,0.01,0.2,0.03,0.3,0,0.09,0.03,0.32,0.1,1,0.28,0.01,0.01,0.01,0,0,0.03,0,0.09,0.01,0.01,0.01,0.32,0.01,0.99,0,0.01,0,0.01,0,0.14,0.06,0,0.04,0.09,0,0.01,0.63,0.01,0.01,0.63,0.01,0.01,0.64,0.02,0.01,0.64,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0.05,0.04,0,0,0,0,0,0,0,0,0,0
LLC-prefetches,0,0,0.06,0,0,0,0.01,0.01,0,0.51,0.02,0.56,0,0.13,0.01,0.05,0.38,0.28,1,0,0,0.02,0,0.01,0.02,0,0.13,0,0,0,0.05,0,0.28,0,0,0,0.02,0.01,0.02,0.34,0.01,0.04,0.13,0.01,0.01,0.15,0,0,0.14,0.01,0,0.14,0.01,0,0.15,0.01,0,0.01,0,0.01,0,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0.02,0,0,0,0.01,0,0,0,0,0,0
LLC-store-misses,0,0.01,0.08,0,0,0,0,0,0,0.01,0.01,0,0.17,0,0,0,0,0.01,0,1,0.9,0,0,0,0.01,0.04,0,0,0,0,0,0,0.01,0.03,0.99,0,0,0,0.11,0.02,0,0,0,0,0.01,0.07,0.53,0,0.07,0.52,0,0.07,0.55,0,0.07,0.56,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0
LLC-stores,0,0.02,0.09,0,0,0,0,0,0,0.02,0.01,0,0.25,0,0,0,0,0.01,0,0.9,1,0,0,0,0.01,0.03,0,0,0,0,0,0.01,0.01,0.03,0.9,0,0,0,0.11,0.03,0,0,0,0,0.02,0.07,0.5,0,0.06,0.48,0,0.06,0.52,0,0.07,0.53,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0,0,0,0,0,0,0
branch-load-misses,0.67,0.65,0.17,0,0.02,0.01,0,0,0.02,0.04,0.24,0,0.57,0.01,0.04,0.05,0.03,0.01,0.02,0,0,1,0.51,0.04,0.24,0.01,0.01,0.04,0.03,0,0.06,0,0.01,0,0,0.51,1,0.76,0.09,0.03,0.76,0.39,0.02,0.76,0.45,0.01,0.07,0.01,0.01,0.07,0.01,0.02,0.09,0.01,0.02,0.1,0.01,0.76,0,0.76,0,0,0,0,0,0.04,0.71,0.53,0.31,0.35,0.35,0.02,0,0,0.74,0,0,0,0,0.09,0
