,power/energy-cores/,power/energy-pkg/,power/energy-ram/,context-switches,cpu-clock,cpu-migrations,minor-faults,page-faults,task-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-prefetch-misses,L1-dcache-store-misses,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,LLC-prefetch-misses,LLC-prefetches,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,node-load-misses,node-loads,node-prefetch-misses,node-prefetches,node-store-misses,node-stores,branch-instructions,branch-misses,bus-cycles,cache-misses,cache-references,cpu-cycles,instructions,mem-stores,ref-cycles,stalled-cycles-frontend,uncore_imc_0/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_0/clockticks/,uncore_imc_1/cas_count_read/,uncore_imc_1/cas_count_write/,uncore_imc_1/clockticks/,uncore_imc_2/cas_count_read/,uncore_imc_2/cas_count_write/,uncore_imc_2/clockticks/,uncore_imc_3/cas_count_read/,uncore_imc_3/cas_count_write/,uncore_imc_3/clockticks/,usr,sys,idl,wai,read,writ,49,50,51,1m,5m,15m,used,free,cach,recv,send,run,blk,new,read,writ,int,csw
branch-loads,0.57,0.54,0.1,0,0.02,0.01,0,0,0.03,0.14,0.43,0.17,0.4,0.08,0,0.03,0.03,0,0,0,0,0.51,1,0.03,0.43,0,0.08,0.01,0,0,0.03,0,0,0,0,1,0.51,0.59,0.03,0.03,0.59,0.42,0.09,0.59,0.37,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.03,0.02,0.02,0.03,0.02,0.58,0,0.58,0,0,0,0,0,0.01,0.5,0.31,0.19,0.25,0.25,0.02,0,0,0.57,0,0,0,0,0.07,0
dTLB-load-misses,0.13,0.16,0.33,0,0,0.01,0,0,0,0.16,0,0.05,0.15,0.03,0.02,0.3,0.16,0,0.01,0,0,0.04,0.03,1,0,0.24,0.03,0,0.01,0.01,0.3,0,0,0,0,0.03,0.04,0.18,0.37,0.17,0.18,0,0.03,0.18,0.48,0.15,0.16,0,0.15,0.16,0,0.14,0.14,0,0.14,0.14,0,0.19,0,0.19,0,0,0,0,0,0,0.18,0.15,0.15,0,0,0,0,0,0.18,0,0,0,0,0.04,0
dTLB-loads,0.52,0.47,0,0,0.03,0.01,0,0,0.04,0,1,0.01,0.15,0.57,0.03,0,0.01,0.03,0.02,0.01,0.01,0.24,0.43,0,1,0.01,0.57,0.09,0.05,0.01,0,0.01,0.03,0,0.01,0.43,0.24,0.44,0,0.01,0.44,0.81,0.58,0.44,0.11,0.01,0,0.03,0.01,0.01,0.03,0.01,0.01,0.03,0.01,0,0.03,0.43,0.01,0.42,0,0,0,0,0,0.04,0.35,0.19,0.09,0.06,0.07,0.04,0,0,0.42,0,0,0,0,0.06,0
dTLB-store-misses,0.04,0.06,0.21,0,0,0,0,0,0,0.02,0.01,0,0.16,0.01,0,0.1,0.02,0,0,0.04,0.03,0.01,0,0.24,0.01,1,0.01,0,0.01,0,0.1,0,0,0.04,0.04,0,0.01,0.06,0.22,0.04,0.06,0,0.01,0.06,0.2,0.08,0.22,0,0.08,0.23,0,0.07,0.2,0,0.07,0.19,0,0.06,0,0.06,0,0,0,0,0,0,0.06,0.05,0.05,0,0,0,0,0,0.06,0,0,0,0,0.01,0
dTLB-stores,0.1,0.08,0.07,0,0.04,0,0.01,0.01,0.05,0.16,0.57,0.09,0.01,1,0.01,0.05,0.11,0.09,0.13,0,0,0.01,0.08,0.03,0.57,0.01,1,0.02,0.01,0.02,0.05,0.01,0.09,0,0,0.08,0.01,0.07,0.03,0.11,0.07,0.26,1,0.07,0,0.08,0,0.04,0.07,0,0.04,0.08,0,0.04,0.08,0,0.04,0.07,0,0.07,0,0,0,0,0,0.04,0.05,0.02,0.01,0.01,0,0.03,0,0,0.07,0,0,0,0,0.02,0
iTLB-load-misses,0.08,0.08,0.03,0.01,0,0.01,0.06,0.06,0,0.01,0.09,0.01,0.02,0.03,0.53,0.04,0.02,0.01,0,0,0,0.04,0.01,0,0.09,0,0.02,1,0.21,0,0.04,0,0.01,0,0,0.01,0.04,0.06,0.04,0.01,0.06,0.08,0.03,0.06,0.02,0.03,0.02,0,0.04,0.03,0,0.03,0.03,0,0.03,0.02,0,0.07,0.03,0.06,0,0,0,0,0,0.02,0.06,0.05,0.03,0.03,0.04,0.03,0,0,0.06,0,0.01,0,0,0,0.01
iTLB-loads,0.02,0.03,0.01,0,0,0,0,0,0,0,0.05,0,0,0.01,0.19,0.01,0,0.01,0,0,0,0.03,0,0.01,0.05,0.01,0.01,0.21,1,0,0.01,0,0.01,0,0,0,0.03,0.02,0.01,0,0.02,0.05,0.01,0.02,0,0.01,0,0,0.01,0,0,0.02,0.01,0,0.01,0,0,0.02,0,0.02,0,0,0,0,0,0.02,0.02,0.02,0.02,0.04,0.05,0.02,0,0,0.02,0,0,0,0,0,0
node-load-misses,0,0,0.04,0,0,0,0,0,0,0.02,0.01,0,0,0.02,0.01,0.04,0.02,0.01,0,0,0,0,0,0.01,0.01,0,0.02,0,0,1,0.04,0.59,0.01,0.01,0,0,0,0,0.04,0.02,0,0.01,0.02,0,0.01,0.03,0,0,0.03,0,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0
node-loads,0.14,0.19,0.63,0,0,0,0,0,0,0.32,0,0.11,0.13,0.05,0.07,1,0.38,0.32,0.05,0,0,0.06,0.03,0.3,0,0.1,0.05,0.04,0.01,0.04,1,0.02,0.32,0,0,0.03,0.06,0.15,0.81,0.32,0.15,0,0.04,0.15,0.37,0.8,0.14,0,0.81,0.17,0,0.8,0.16,0,0.8,0.14,0,0.16,0,0.16,0,0,0,0,0,0,0.15,0.11,0.1,0.05,0.05,0.01,0,0,0.15,0,0,0,0,0.03,0
node-prefetch-misses,0,0,0.03,0,0,0,0,0,0,0.01,0.01,0,0,0.01,0.01,0.02,0.01,0.01,0,0,0.01,0,0,0,0.01,0,0.01,0,0,0.59,0.02,1,0.01,0.1,0,0,0,0,0.02,0.01,0,0,0.01,0,0,0.02,0.01,0,0.02,0.01,0,0.02,0.02,0,0.02,0.01,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0
node-prefetches,0,0,0.22,0,0.01,0,0.02,0.02,0.01,0.2,0.03,0.3,0,0.09,0.03,0.32,0.1,0.99,0.28,0.01,0.01,0.01,0,0,0.03,0,0.09,0.01,0.01,0.01,0.32,0.01,1,0,0.01,0,0.01,0,0.14,0.06,0,0.04,0.09,0,0.01,0.63,0.01,0.01,0.63,0.01,0.01,0.64,0.02,0.01,0.64,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0.01,0,0.05,0.04,0,0,0,0,0,0,0,0,0,0
node-store-misses,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0.04,0,0,0,0.01,0,0.1,0,1,0.03,0,0,0,0.01,0,0,0,0,0,0,0,0.03,0,0,0.03,0,0,0.03,0,0,0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
node-stores,0,0.01,0.08,0,0,0,0,0,0,0.01,0.01,0,0.19,0,0,0,0,0.01,0,0.99,0.9,0,0,0,0.01,0.04,0,0,0,0,0,0,0.01,0.03,1,0,0,0,0.12,0.02,0,0,0,0,0.01,0.08,0.55,0,0.07,0.54,0,0.07,0.57,0,0.08,0.58,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0
branch-instructions,0.57,0.53,0.1,0,0.02,0.01,0,0,0.03,0.14,0.43,0.17,0.39,0.08,0,0.03,0.03,0,0,0,0,0.51,1,0.03,0.43,0,0.08,0.01,0,0,0.03,0,0,0,0,1,0.51,0.59,0.03,0.03,0.59,0.42,0.09,0.59,0.37,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.03,0.02,0.02,0.03,0.02,0.58,0,0.58,0,0,0,0,0,0.01,0.5,0.31,0.19,0.25,0.25,0.02,0,0,0.57,0,0,0,0,0.07,0
branch-misses,0.67,0.65,0.17,0,0.02,0.01,0,0,0.02,0.04,0.24,0,0.57,0.01,0.04,0.05,0.03,0.01,0.02,0,0,1,0.51,0.04,0.24,0.01,0.01,0.04,0.03,0,0.06,0,0.01,0,0,0.51,1,0.76,0.09,0.03,0.76,0.39,0.02,0.76,0.45,0.01,0.07,0.01,0.01,0.07,0.01,0.02,0.09,0.01,0.02,0.1,0.01,0.76,0,0.76,0,0,0,0,0,0.04,0.71,0.53,0.31,0.35,0.35,0.02,0,0,0.74,0,0,0,0,0.09,0
bus-cycles,0.94,0.93,0.32,0,0.02,0.01,0,0,0.02,0.11,0.44,0.03,0.67,0.07,0.04,0.15,0.08,0,0.01,0,0,0.76,0.59,0.18,0.44,0.06,0.07,0.06,0.02,0,0.15,0,0,0,0,0.59,0.76,1,0.22,0.09,1,0.58,0.08,1,0.76,0.06,0.19,0.02,0.06,0.18,0.02,0.06,0.2,0.02,0.06,0.2,0.02,0.97,0,0.97,0,0,0,0,0,0.04,0.88,0.64,0.42,0.27,0.28,0.04,0,0,0.95,0,0,0,0,0.15,0
cache-misses,0.19,0.27,0.74,0,0,0,0,0,0,0.26,0,0.05,0.32,0.03,0.07,0.81,0.3,0.14,0.02,0.11,0.11,0.09,0.03,0.37,0,0.22,0.03,0.04,0.01,0.04,0.81,0.02,0.14,0.01,0.12,0.03,0.09,0.22,1,0.32,0.22,0,0.03,0.23,0.49,0.7,0.46,0,0.7,0.49,0,0.68,0.48,0,0.68,0.45,0,0.22,0.02,0.23,0,0,0,0,0,0,0.21,0.17,0.15,0.06,0.06,0.01,0,0,0.22,0,0,0,0,0.05,0
cache-references,0.09,0.12,0.26,0,0.01,0,0,0,0.01,0.77,0.01,0.15,0.14,0.11,0.03,0.32,0.97,0.06,0.34,0.02,0.03,0.03,0.03,0.17,0.01,0.04,0.11,0.01,0,0.02,0.32,0.01,0.06,0,0.02,0.03,0.03,0.09,0.32,1,0.09,0.01,0.1,0.09,0.31,0.27,0.11,0.01,0.25,0.1,0.01,0.25,0.1,0.01,0.27,0.11,0.01,0.09,0,0.09,0,0,0,0,0,0.01,0.08,0.05,0.03,0.05,0.05,0,0,0,0.09,0,0,0,0,0.01,0
cpu-cycles,0.94,0.93,0.32,0,0.02,0.01,0,0,0.02,0.11,0.44,0.03,0.67,0.07,0.04,0.15,0.08,0,0.01,0,0,0.76,0.59,0.18,0.44,0.06,0.07,0.06,0.02,0,0.15,0,0,0,0,0.59,0.76,1,0.22,0.09,1,0.58,0.08,1,0.76,0.06,0.19,0.02,0.06,0.18,0.02,0.06,0.2,0.02,0.06,0.2,0.02,0.97,0,0.97,0,0,0,0,0,0.04,0.88,0.64,0.42,0.27,0.28,0.04,0,0,0.95,0,0,0,0,0.15,0
instructions,0.64,0.58,0.03,0,0.02,0.01,0,0,0.02,0,0.81,0.01,0.26,0.26,0.01,0,0.01,0.04,0.04,0,0,0.39,0.42,0,0.81,0,0.26,0.08,0.05,0.01,0,0,0.04,0,0,0.42,0.39,0.58,0,0.01,0.58,1,0.28,0.58,0.17,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.03,0.02,0.01,0.02,0.02,0.57,0,0.57,0,0,0,0,0,0.03,0.49,0.33,0.19,0.18,0.19,0.03,0,0,0.56,0,0,0,0,0.09,0
mem-stores,0.12,0.09,0.06,0,0.04,0,0.01,0.01,0.05,0.16,0.58,0.09,0.01,1,0.01,0.05,0.1,0.09,0.13,0,0,0.02,0.09,0.03,0.58,0.01,1,0.03,0.01,0.02,0.04,0.01,0.09,0,0,0.09,0.02,0.08,0.03,0.1,0.08,0.28,1,0.08,0,0.07,0,0.04,0.07,0,0.04,0.07,0,0.04,0.08,0,0.04,0.08,0.01,0.08,0,0,0,0,0,0.04,0.06,0.03,0.01,0.01,0,0.03,0,0,0.08,0,0,0,0,0.02,0
ref-cycles,0.94,0.93,0.32,0,0.02,0.01,0,0,0.02,0.11,0.44,0.03,0.67,0.07,0.04,0.15,0.08,0,0.01,0,0,0.76,0.59,0.18,0.44,0.06,0.07,0.06,0.02,0,0.15,0,0,0,0,0.59,0.76,1,0.23,0.09,1,0.58,0.08,1,0.76,0.06,0.19,0.02,0.06,0.18,0.02,0.06,0.2,0.02,0.06,0.2,0.02,0.97,0,0.97,0,0,0,0,0,0.04,0.88,0.64,0.42,0.27,0.28,0.04,0,0,0.95,0,0,0,0,0.15,0
stalled-cycles-frontend,0.67,0.72,0.53,0,0,0.01,0,0,0,0.32,0.11,0.1,0.61,0,0.04,0.37,0.28,0.01,0.01,0.01,0.02,0.45,0.37,0.48,0.11,0.2,0,0.02,0,0.01,0.37,0,0.01,0,0.01,0.37,0.45,0.76,0.49,0.31,0.76,0.17,0,0.76,1,0.22,0.33,0,0.22,0.32,0,0.21,0.32,0,0.22,0.33,0,0.73,0,0.74,0,0,0,0,0,0.01,0.68,0.51,0.39,0.15,0.16,0.02,0,0,0.71,0,0,0,0,0.13,0
uncore_imc_0/cas_count_read/,0.05,0.1,0.6,0,0.01,0,0,0,0.01,0.34,0.01,0.19,0.11,0.08,0.06,0.8,0.3,0.63,0.15,0.07,0.07,0.01,0.01,0.15,0.01,0.08,0.08,0.03,0.01,0.03,0.8,0.02,0.63,0,0.08,0.01,0.01,0.06,0.7,0.27,0.06,0.01,0.07,0.06,0.22,1,0.24,0.01,0.97,0.24,0.01,0.96,0.23,0.01,0.97,0.22,0.01,0.06,0,0.06,0,0,0,0,0,0,0.05,0.04,0.04,0.07,0.07,0,0,0,0.05,0,0,0,0,0.01,0
